"nom géographique, anglais","nom géographique, français","type de géographie, anglais","type de géographie, français",code du division de recensement,code de la région économique,code de la province,code de la région de patrimoine canadien,Total,Anglais première langue officielle parlée ajusté,"français première langue officielle parlée, ajusté","Autre première langue officielle parlée, ajusté"
"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,Total,"English first official language spoken, adjusted","French first official language spoken, adjusted","Other first official language spoken, adjusted"
Russell,Russell,census subdivision,Subdivision de recensement,cd3502,er3510,pr35,pch03,"15,165","8,253","6,908",5
Ottawa,Ottawa,census subdivision,Subdivision de recensement,cd3506,er3510,pr35,pch03,"872,450","717,880","143,040","11,530"
Edwardsburgh/Cardinal,Edwardsburgh/Cardinal,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"6,940","6,630",310, -   
Augusta,Augusta,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"7,435","7,210",215,10
Prescott,Prescott,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"4,160","4,020",135,5
Elizabethtown-Kitley,Elizabethtown-Kitley,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"9,320","9,110",205,5
Brockville,Brockville,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"21,700","21,103",553,45
Front of Yonge,Front of Yonge,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"2,670","2,625",45, -   
Leeds and the Thousand Islands,Leeds and the Thousand Islands,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"9,265","9,075",190, -   
Gananoque,Gananoque,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"5,045","4,925",115,5
Westport,Westport,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,635,613,23, -   
Rideau Lakes,Rideau Lakes,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"10,195","9,975",215,5
Athens,Athens,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"3,055","3,010",45, -   
Merrickville-Wolford,Merrickville-Wolford,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"2,715","2,570",140,5
North Grenville,North Grenville,census subdivision,Subdivision de recensement,cd3507,er3510,pr35,pch03,"14,910","14,033",863,15
Montague,Montague,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"3,485","3,353",133, -   
Smiths Falls,Smiths Falls,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"8,880","8,608",258,15
Drummond/North Elmsley,Drummond/North Elmsley,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"7,445","7,228",213,5
Tay Valley,Tay Valley,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"5,285","5,175",110, -   
Perth,Perth,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"5,820","5,715",105, -   
Beckwith,Beckwith,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"6,985","6,648",338, -   
Carleton Place,Carleton Place,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"9,610","9,170",435,5
Mississippi Mills,Mississippi Mills,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"12,120","11,733",383,5
Lanark Highlands,Lanark Highlands,census subdivision,Subdivision de recensement,cd3509,er3510,pr35,pch03,"5,130","4,898",233, -   
Frontenac Islands,Frontenac Islands,census subdivision,Subdivision de recensement,cd3510,er3515,pr35,pch03,"1,870","1,825",45, -   
Kingston,Kingston,census subdivision,Subdivision de recensement,cd3510,er3515,pr35,pch03,"120,315","115,238","4,553",525
South Frontenac,South Frontenac,census subdivision,Subdivision de recensement,cd3510,er3515,pr35,pch03,"18,115","17,730",375,10
Central Frontenac,Central Frontenac,census subdivision,Subdivision de recensement,cd3510,er3515,pr35,pch03,"4,530","4,453",73,5
North Frontenac,North Frontenac,census subdivision,Subdivision de recensement,cd3510,er3515,pr35,pch03,"1,835","1,790",45, -   
Loyalist,Loyalist,census subdivision,Subdivision de recensement,cd3511,er3515,pr35,pch03,"15,105","14,745",350,10
Greater Napanee,Greater Napanee,census subdivision,Subdivision de recensement,cd3511,er3515,pr35,pch03,"15,090","14,890",190,10
Stone Mills,Stone Mills,census subdivision,Subdivision de recensement,cd3511,er3515,pr35,pch03,"7,550","7,468",83, -   
Addington Highlands,Addington Highlands,census subdivision,Subdivision de recensement,cd3511,er3515,pr35,pch03,"2,475","2,435",40, -   
Tyendinaga,Tyendinaga,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"4,150","4,123",28, -   
Deseronto,Deseronto,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"1,840","1,825",10,5
Belleville,Belleville,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"48,605","47,808",643,155
Quinte West,Quinte West,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"42,795","40,990","1,745",60
Stirling-Rawdon,Stirling-Rawdon,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"4,880","4,850",30, -   
Centre Hastings,Centre Hastings,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"4,525","4,475",45,5
Tweed,Tweed,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"5,915","5,838",78, -   
Madoc,Madoc,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"2,195","2,180",15, -   
Marmora and Lake,Marmora and Lake,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"3,970","3,928",43, -   
Tudor and Cashel,Tudor and Cashel,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,585,585, -   , -   
Limerick,Limerick,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,355,350,5, -   
Wollaston,Wollaston,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,710,705,5, -   
Faraday,Faraday,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"1,470","1,450",20, -   
Bancroft,Bancroft,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"3,775","3,720",45,10
Carlow/Mayo,Carlow/Mayo,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,895,880,15, -   
Hastings Highlands,Hastings Highlands,census subdivision,Subdivision de recensement,cd3512,er3515,pr35,pch03,"4,170","4,118",48,5
Prince Edward County,Prince Edward County,census subdivision,Subdivision de recensement,cd3513,er3515,pr35,pch03,"24,800","24,438",333,30
Brighton,Brighton,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"10,295","10,040",240,15
Cramahe,Cramahe,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"6,075","6,008",63,5
Hamilton,Hamilton,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"10,700","10,573",118,10
Port Hope,Port Hope,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"15,870","15,650",190,30
Cobourg,Cobourg,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"17,955","17,698",238,20
Alnwick/Haldimand,Alnwick/Haldimand,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"6,605","6,518",83,5
Alderville First Nation,Alderville First Nation,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,475,470,5, -   
Trent Hills,Trent Hills,census subdivision,Subdivision de recensement,cd3514,er3520,pr35,pch03,"12,390","12,263",113,15
Asphodel-Norwood,Asphodel-Norwood,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"3,980","3,960",20, -   
Otonabee-South Monaghan,Otonabee-South Monaghan,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"6,665","6,593",68,5
Hiawatha First Nation,Hiawatha First Nation,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,365,360,5, -   
Cavan-Monaghan,Cavan-Monaghan,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"8,400","8,313",78,10
Peterborough,Peterborough,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"77,565","76,493",878,195
Smith-Ennismore-Lakefield,Smith-Ennismore-Lakefield,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"16,805","16,638",153,15
Curve Lake First Nation 35,Curve Lake First Nation 35,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"1,005","1,000",5, -   
Douro-Dummer,Douro-Dummer,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"6,805","6,758",48, -   
Havelock-Belmont-Methuen,Havelock-Belmont-Methuen,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"4,530","4,475",50,5
North Kawartha,North Kawartha,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"2,295","2,265",25,5
Galway-Cavendish and Harvey,Galway-Cavendish and Harvey,census subdivision,Subdivision de recensement,cd3515,er3520,pr35,pch03,"5,105","5,043",63, -   
Kawartha Lakes,Kawartha Lakes,census subdivision,Subdivision de recensement,cd3516,er3520,pr35,pch03,"72,180","71,430",670,80
Pickering,Pickering,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"88,255","86,295","1,285",675
Ajax,Ajax,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"109,305","106,280","1,910","1,115"
Whitby,Whitby,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"121,030","118,060","2,285",685
Oshawa,Oshawa,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"148,240","144,358","3,203",680
Clarington,Clarington,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"84,185","82,585","1,430",170
Scugog,Scugog,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"21,420","21,188",213,20
Mississaugas of Scugog Island,Mississaugas of Scugog Island,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,95,95, -   , -   
Uxbridge,Uxbridge,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"20,495","20,290",175,30
Brock,Brock,census subdivision,Subdivision de recensement,cd3518,er3530,pr35,pch03,"11,090","11,028",58,5
Vaughan,Vaughan,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"286,955","272,243","3,363","11,350"
Markham,Markham,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"300,680","272,348","3,628","24,705"
Richmond Hill,Richmond Hill,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"184,455","172,378","2,873","9,205"
Whitchurch-Stouffville,Whitchurch-Stouffville,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"37,355","36,353",423,580
Aurora,Aurora,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"52,800","51,155",940,705
Newmarket,Newmarket,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"79,210","77,043","1,268",900
King,King,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"19,795","19,465",195,135
East Gwillimbury,East Gwillimbury,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"22,070","21,693",268,110
Georgina,Georgina,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,"43,065","42,448",498,120
Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,census subdivision,Subdivision de recensement,cd3519,er3530,pr35,pch03,275,275, -   , -   
Toronto,Toronto,census subdivision,Subdivision de recensement,cd3520,er3530,pr35,pch03,"2,589,080","2,406,683","48,653","133,745"
Mississauga,Mississauga,census subdivision,Subdivision de recensement,cd3521,er3530,pr35,pch03,"710,470","673,725","12,100","24,645"
Brampton,Brampton,census subdivision,Subdivision de recensement,cd3521,er3530,pr35,pch03,"521,685","491,523","6,393","23,770"
Caledon,Caledon,census subdivision,Subdivision de recensement,cd3521,er3530,pr35,pch03,"59,210","58,065",600,545
East Garafraxa,East Garafraxa,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"2,585","2,555",25,5
Amaranth,Amaranth,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"3,955","3,915",30,10
East Luther Grand Valley,East Luther Grand Valley,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"2,730","2,695",35, -   
Mono,Mono,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"7,530","7,445",75,10
Orangeville,Orangeville,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"27,730","27,385",305,40
Mulmur,Mulmur,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"3,370","3,328",38,5
Melancthon,Melancthon,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"2,830","2,770",15,45
Shelburne,Shelburne,census subdivision,Subdivision de recensement,cd3522,er3540,pr35,pch03,"5,630","5,558",63,10
Puslinch,Puslinch,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"7,000","6,903",78,20
Guelph,Guelph,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"121,085","117,965","1,755","1,365"
Guelph/Eramosa,Guelph/Eramosa,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"12,330","12,150",145,35
Erin,Erin,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"10,725","10,578",133,15
Centre Wellington,Centre Wellington,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"26,350","26,085",240,25
Mapleton,Mapleton,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"9,980","9,703",53,225
Minto,Minto,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"8,100","7,983",48,70
Wellington North,Wellington North,census subdivision,Subdivision de recensement,cd3523,er3540,pr35,pch03,"11,255","11,075",85,95
Oakville,Oakville,census subdivision,Subdivision de recensement,cd3524,er3550,pr35,pch03,"181,450","175,038","4,108","2,305"
Burlington,Burlington,census subdivision,Subdivision de recensement,cd3524,er3550,pr35,pch03,"174,245","169,690","3,350","1,205"
Milton,Milton,census subdivision,Subdivision de recensement,cd3524,er3550,pr35,pch03,"83,680","81,145","1,490","1,045"
Halton Hills,Halton Hills,census subdivision,Subdivision de recensement,cd3524,er3550,pr35,pch03,"58,720","57,220","1,260",240
Hamilton,Hamilton,census subdivision,Subdivision de recensement,cd3525,er3550,pr35,pch03,"513,170","496,825","7,620","8,725"
Fort Erie,Fort Erie,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"29,670","29,013",543,115
Port Colborne,Port Colborne,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"18,035","17,140",795,100
Wainfleet,Wainfleet,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"6,340","6,140",195,5
West Lincoln,West Lincoln,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"13,800","13,638",133,30
Pelham,Pelham,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"16,460","15,998",433,30
Welland,Welland,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"50,240","44,895","5,095",250
Thorold,Thorold,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"17,600","17,120",395,85
Niagara Falls,Niagara Falls,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"82,010","79,393","1,798",820
Niagara-on-the-Lake,Niagara-on-the-Lake,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"15,140","14,750",220,170
St. Catharines,St. Catharines,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"129,115","125,250","2,955",910
Lincoln,Lincoln,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"21,935","21,565",260,110
Grimsby,Grimsby,census subdivision,Subdivision de recensement,cd3526,er3550,pr35,pch03,"25,160","24,825",285,50
Haldimand County,Haldimand County,census subdivision,Subdivision de recensement,cd3528,er3550,pr35,pch03,"44,345","43,938",348,60
Norfolk County,Norfolk County,census subdivision,Subdivision de recensement,cd3528,er3550,pr35,pch03,"62,375","61,095",590,690
Brant,Brant,census subdivision,Subdivision de recensement,cd3529,er3550,pr35,pch03,"35,285","34,915",285,85
Brantford,Brantford,census subdivision,Subdivision de recensement,cd3529,er3550,pr35,pch03,"92,425","90,965",985,475
North Dumfries,North Dumfries,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"9,315","9,195",85,35
Cambridge,Cambridge,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"125,645","121,863","1,798","1,985"
Kitchener,Kitchener,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"216,365","209,258","3,383","3,725"
Waterloo,Waterloo,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"97,985","95,320","1,415","1,250"
Wilmot,Wilmot,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"18,990","18,803",163,25
Wellesley,Wellesley,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"10,710","10,238",58,415
Woolwich,Woolwich,census subdivision,Subdivision de recensement,cd3530,er3540,pr35,pch03,"22,790","22,328",153,310
Stratford,Stratford,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"30,520","30,235",220,65
Perth South,Perth South,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"3,985","3,963",18,5
St. Marys,St. Marys,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"6,580","6,530",50, -   
West Perth,West Perth,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"8,805","8,748",33,25
Perth East,Perth East,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"11,810","11,520",35,255
North Perth,North Perth,census subdivision,Subdivision de recensement,cd3531,er3580,pr35,pch03,"12,520","12,378",58,85
Norwich,Norwich,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"10,720","10,590",45,85
Tillsonburg,Tillsonburg,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"15,145","14,935",170,40
South-West Oxford,South-West Oxford,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"7,545","7,433",53,60
Ingersoll,Ingersoll,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"12,020","11,915",90,15
Zorra,Zorra,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"8,060","8,000",40,20
East Zorra-Tavistock,East Zorra-Tavistock,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"6,615","6,568",43,5
Woodstock,Woodstock,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"37,290","36,708",468,115
Blandford-Blenheim,Blandford-Blenheim,census subdivision,Subdivision de recensement,cd3532,er3560,pr35,pch03,"7,365","7,308",53,5
Bayham,Bayham,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"6,995","6,795",65,135
Malahide,Malahide,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"9,020","8,695",50,275
Aylmer,Aylmer,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"7,080","6,878",38,165
Central Elgin,Central Elgin,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"12,590","12,483",93,15
St. Thomas,St. Thomas,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"37,210","36,728",393,90
Southwold,Southwold,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"4,400","4,365",30,5
Dutton/Dunwich,Dutton/Dunwich,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"3,810","3,773",33,5
West Elgin,West Elgin,census subdivision,Subdivision de recensement,cd3534,er3560,pr35,pch03,"5,135","5,025",70,40
Chatham-Kent,Chatham-Kent,census subdivision,Subdivision de recensement,cd3536,er3570,pr35,pch03,"102,355","99,195","2,575",585
Moravian 47,Moravian 47,census subdivision,Subdivision de recensement,cd3536,er3570,pr35,pch03,405,405, -   , -   
Pelee,Pelee,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,170,168,3, -   
Leamington,Leamington,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"27,870","25,825",435,"1,610"
Kingsville,Kingsville,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"21,055","20,120",270,665
Essex,Essex,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"19,310","18,848",378,85
Amherstburg,Amherstburg,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"21,400","20,750",585,65
LaSalle,LaSalle,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"28,520","27,623",748,150
Windsor,Windsor,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"208,825","198,640","6,125","4,060"
Tecumseh,Tecumseh,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"23,395","22,285",995,115
Lakeshore,Lakeshore,census subdivision,Subdivision de recensement,cd3537,er3570,pr35,pch03,"34,370","31,783","2,478",110
St. Clair,St. Clair,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"14,500","14,290",205,5
Dawn-Euphemia,Dawn-Euphemia,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"2,045","2,025",10,10
Brooke-Alvinston,Brooke-Alvinston,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"2,550","2,523",23,5
Enniskillen,Enniskillen,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"2,795","2,770",20,5
Oil Springs,Oil Springs,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,700,700, -   , -   
Petrolia,Petrolia,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"5,375","5,280",90,5
Sarnia 45,Sarnia 45,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,640,640, -   , -   
Sarnia,Sarnia,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"71,575","69,530","1,835",210
Point Edward,Point Edward,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"2,035","1,985",50, -   
Plympton-Wyoming,Plympton-Wyoming,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"7,570","7,483",88, -   
Lambton Shores,Lambton Shores,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"10,540","10,450",85,5
Warwick,Warwick,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,"3,600","3,570",20,10
Kettle Point 44,Kettle Point 44,census subdivision,Subdivision de recensement,cd3538,er3570,pr35,pch03,935,935, -   , -   
Newbury,Newbury,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,450,440,5,5
Southwest Middlesex,Southwest Middlesex,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"5,795","5,750",40,5
Strathroy-Caradoc,Strathroy-Caradoc,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"20,340","19,990",160,190
Chippewas of the Thames First Nation 42,Chippewas of the Thames First Nation 42,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,760,760, -   , -   
Munsee-Delaware Nation 1,Munsee-Delaware Nation 1,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,160,160, -   , -   
Thames Centre,Thames Centre,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"13,005","12,833",98,75
Middlesex Centre,Middlesex Centre,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"16,155","15,995",145,15
London,London,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"362,260","352,090","5,680","4,490"
North Middlesex,North Middlesex,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"6,410","6,375",25,10
Adelaide-Metcalfe,Adelaide-Metcalfe,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"3,025","2,993",18,15
Lucan Biddulph,Lucan Biddulph,census subdivision,Subdivision de recensement,cd3539,er3560,pr35,pch03,"4,300","4,270",25,5
South Huron,South Huron,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"9,780","9,643",63,75
Bluewater,Bluewater,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"6,910","6,855",55, -   
Central Huron,Central Huron,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"7,590","7,553",33,5
Goderich,Goderich,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"7,400","7,315",75,10
Huron East,Huron East,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"9,130","9,083",43,5
Howick,Howick,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"3,830","3,653",23,155
Morris-Turnberry,Morris-Turnberry,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"3,285","3,208",18,60
North Huron,North Huron,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"4,875","4,860",10,5
Ashfield-Colborne-Wawanosh,Ashfield-Colborne-Wawanosh,census subdivision,Subdivision de recensement,cd3540,er3580,pr35,pch03,"5,575","5,433",48,95
South Bruce,South Bruce,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"5,675","5,640",10,25
Huron-Kinloss,Huron-Kinloss,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"6,710","6,543",48,120
Kincardine,Kincardine,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"11,040","10,830",185,25
Brockton,Brockton,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"9,240","9,183",43,15
Arran-Elderslie,Arran-Elderslie,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"6,755","6,660",30,65
Saugeen Shores,Saugeen Shores,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"12,455","12,250",180,25
South Bruce Peninsula,South Bruce Peninsula,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"8,285","8,238",38,10
Saugeen 29,Saugeen 29,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,725,725, -   , -   
Northern Bruce Peninsula,Northern Bruce Peninsula,census subdivision,Subdivision de recensement,cd3541,er3580,pr35,pch03,"3,705","3,660",45, -   
West Grey,West Grey,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"12,155","12,070",60,25
Southgate,Southgate,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"7,185","7,030",45,110
Grey Highlands,Grey Highlands,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"9,450","9,280",85,85
Hanover,Hanover,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"7,250","7,188",58,5
Chatsworth,Chatsworth,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"6,370","6,245",45,80
The Blue Mountains,The Blue Mountains,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"6,400","6,330",65,5
Meaford,Meaford,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"10,910","10,803",98,10
Georgian Bluffs,Georgian Bluffs,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"10,385","10,310",70,5
Owen Sound,Owen Sound,census subdivision,Subdivision de recensement,cd3542,er3580,pr35,pch03,"20,860","20,638",203,20
Adjala-Tosorontio,Adjala-Tosorontio,census subdivision,Subdivision de recensement,cd3543,er3540,pr35,pch03,"10,610","10,403",158,50
Clearview,Clearview,census subdivision,Subdivision de recensement,cd3543,er3540,pr35,pch03,"13,575","13,423",143,10
New Tecumseth,New Tecumseth,census subdivision,Subdivision de recensement,cd3543,er3540,pr35,pch03,"29,875","29,363",438,75
Springwater,Springwater,census subdivision,Subdivision de recensement,cd3543,er3540,pr35,pch03,"18,135","17,743",338,55
